Feature,Importance_Score
Temperature_30d,1.1024326
Temperature_2m_Min,1.050742
Temperature_2m,0.86945486
Forests,0.8236241
Lon_sin,0.7748327
Temperature_60d,0.7588785
Wetlands,0.71149236
Precip_30d,0.67851174
Precip_90d,0.6271034
TerrainSlope,0.5547479
WindSpeed,0.5070818
LithologicalClasses.1,0.48779574
Temperature_2m_Max,0.46517843
KarstAreaExtent,0.46394557
SoilErosion,0.4310773
ClayFraction,0.41477016
Elevation,0.4127718
Date_cos,0.41225952
SandFraction,0.41012555
Temperature_90d,0.37760657
Pressure,0.37180135
SolarRadiation,0.3707423
SoilOrganicCarbon,0.3487198
Precipitation,0.33296886
Population,0.3282646
Precip_60d,0.32574365
Date_sin,0.31045148
Grasslands,0.30511034
SiltFraction,0.2931388
Lat_cos,0.24895076
Croplands,0.23647302
Lat_sin,0.2201151
UrbanAreas,0.21582288
Runoff,0.1731397
Lon_cos,0.11966807
LithologicalClasses.5,0.050185733
LithologicalClasses.9,0.03921333
LithologicalClasses.8,0.0
LithologicalClasses.2,0.0
LithologicalClasses.11,0.0
LithologicalClasses.12,0.0
LithologicalClasses.7,0.0
LithologicalClasses.6,0.0
LithologicalClasses.4,0.0
LithologicalClasses.3,0.0
LithologicalClasses.10,0.0
