Training Log
============
Epoch 1/200 | LR: [0.0001] | Train Loss: 7.6807 | Val Loss: 5.7931 | Time: 0.95s
Epoch 2/200 | LR: [0.0001] | Train Loss: 5.8847 | Val Loss: 4.4532 | Time: 0.76s
Epoch 3/200 | LR: [0.0001] | Train Loss: 4.8112 | Val Loss: 3.5852 | Time: 0.76s
Epoch 4/200 | LR: [0.0001] | Train Loss: 4.0630 | Val Loss: 2.9143 | Time: 0.76s
Epoch 5/200 | LR: [0.0001] | Train Loss: 3.4598 | Val Loss: 2.3475 | Time: 0.79s
Epoch 6/200 | LR: [0.0001] | Train Loss: 2.9106 | Val Loss: 1.8908 | Time: 0.85s
Epoch 7/200 | LR: [0.0001] | Train Loss: 2.4018 | Val Loss: 1.5845 | Time: 0.85s
Epoch 8/200 | LR: [0.0001] | Train Loss: 2.0102 | Val Loss: 1.4451 | Time: 0.85s
Epoch 9/200 | LR: [0.0001] | Train Loss: 1.7299 | Val Loss: 1.4513 | Time: 0.85s
Epoch 10/200 | LR: [0.0001] | Train Loss: 1.5880 | Val Loss: 1.4394 | Time: 0.85s
Epoch 11/200 | LR: [0.0001] | Train Loss: 1.3893 | Val Loss: 1.0475 | Time: 0.85s
Epoch 12/200 | LR: [0.0001] | Train Loss: 1.0629 | Val Loss: 0.6811 | Time: 0.85s
Epoch 13/200 | LR: [0.0001] | Train Loss: 0.8370 | Val Loss: 0.5234 | Time: 0.84s
Epoch 14/200 | LR: [0.0001] | Train Loss: 0.6900 | Val Loss: 0.3915 | Time: 0.85s
Epoch 15/200 | LR: [0.0001] | Train Loss: 0.6128 | Val Loss: 0.3294 | Time: 0.85s
Epoch 16/200 | LR: [0.0001] | Train Loss: 0.5677 | Val Loss: 0.2865 | Time: 0.85s
Epoch 17/200 | LR: [0.0001] | Train Loss: 0.5237 | Val Loss: 0.2720 | Time: 0.85s
Epoch 18/200 | LR: [0.0001] | Train Loss: 0.5310 | Val Loss: 0.2604 | Time: 0.85s
Epoch 19/200 | LR: [0.0001] | Train Loss: 0.5286 | Val Loss: 0.2618 | Time: 0.85s
Epoch 20/200 | LR: [0.0001] | Train Loss: 0.5082 | Val Loss: 0.2525 | Time: 0.85s
Epoch 21/200 | LR: [0.0001] | Train Loss: 0.5041 | Val Loss: 0.3215 | Time: 0.85s
Epoch 22/200 | LR: [0.0001] | Train Loss: 0.5043 | Val Loss: 0.2886 | Time: 0.85s
Epoch 23/200 | LR: [0.0001] | Train Loss: 0.4856 | Val Loss: 0.2818 | Time: 0.85s
Epoch 24/200 | LR: [0.0001] | Train Loss: 0.4831 | Val Loss: 0.2663 | Time: 0.86s
Epoch 25/200 | LR: [0.0001] | Train Loss: 0.4825 | Val Loss: 0.2660 | Time: 0.88s
Epoch 26/200 | LR: [5e-05] | Train Loss: 0.4657 | Val Loss: 0.2712 | Time: 0.88s
Epoch 27/200 | LR: [5e-05] | Train Loss: 0.4764 | Val Loss: 0.2433 | Time: 0.85s
Epoch 28/200 | LR: [5e-05] | Train Loss: 0.4730 | Val Loss: 0.2829 | Time: 0.85s
Epoch 29/200 | LR: [5e-05] | Train Loss: 0.4651 | Val Loss: 0.2594 | Time: 0.85s
Epoch 30/200 | LR: [5e-05] | Train Loss: 0.4652 | Val Loss: 0.2618 | Time: 0.85s
Epoch 31/200 | LR: [5e-05] | Train Loss: 0.4647 | Val Loss: 0.2598 | Time: 0.85s
Epoch 32/200 | LR: [5e-05] | Train Loss: 0.4520 | Val Loss: 0.2617 | Time: 0.85s
Epoch 33/200 | LR: [2.5e-05] | Train Loss: 0.4610 | Val Loss: 0.2674 | Time: 0.85s
Epoch 34/200 | LR: [2.5e-05] | Train Loss: 0.4535 | Val Loss: 0.2479 | Time: 0.85s
Epoch 35/200 | LR: [2.5e-05] | Train Loss: 0.4468 | Val Loss: 0.2599 | Time: 0.85s
Epoch 36/200 | LR: [2.5e-05] | Train Loss: 0.4273 | Val Loss: 0.2644 | Time: 0.85s
Epoch 37/200 | LR: [2.5e-05] | Train Loss: 0.4449 | Val Loss: 0.2471 | Time: 0.85s
